Transaction Hash,Date & Time,From Address,To Address,Transaction Type,Asset Contract Address,Asset Symbol / Name,Token ID,Value / Amount,Gas Fee (ETH)
0xce7e383ab8240b3d1347e538c749072d70b72233940cc8fd3c5c15778589db7b,,0xd620aadabaa20d2af700853c4504028cba7c3333,0xcbe85f16a602511859465d764b8da9c97deaeb5b,,,,,0.85470,
0xbe3fa9b14a7c1c286ebb2ec223c820d5218bdee36998473ef50f2b05ed2b35c4,,0xd620aadabaa20d2af700853c4504028cba7c3333,0xf3144119ccbdc96567ac94b4be538a695ebc225e,,,,,0.00000,
0x7a8556882c3af7587d31fff60df406d2857cbb78c23139a3f54e32362648814d,,0xd620aadabaa20d2af700853c4504028cba7c3333,0xb7b05231cccfd862b57d7d7a0a0db48e078b504c,,,,,0.00000,
0x9907450f252ce27c7df6825cea6e12027b20835289ad9e5d240ccbd05cf51dcf,,0xd620aadabaa20d2af700853c4504028cba7c3333,0xb7b05231cccfd862b57d7d7a0a0db48e078b504c,,,,,0.00000,
0xce3b722f9ea226addcf96c421318a1a6acb94706f6c93c86d70994b22fd8b9bb,,0xd620aadabaa20d2af700853c4504028cba7c3333,0xb7b05231cccfd862b57d7d7a0a0db48e078b504c,,,,,0.00000,
0xfe9540bc0ce2f956d9e7d4c31ca7ea54ac1566171c376badc6236b57ddd8029e,,0xd620aadabaa20d2af700853c4504028cba7c3333,0xb7b05231cccfd862b57d7d7a0a0db48e078b504c,,,,,0.00000,
0x585cde6d55f7e8da7a48f1f6678839afeb3ebc58f8712568491690ba8cf1814e,,0xd620aadabaa20d2af700853c4504028cba7c3333,0xb7b05231cccfd862b57d7d7a0a0db48e078b504c,,,,,0.00000,
0xb9cae4f7903609f543c673c813b5e5dd8208d81c813ea2fd1555d1347a836c97,,0xd620aadabaa20d2af700853c4504028cba7c3333,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,,,,,0.05000,
0x0d6d7f37505b4bbcb87328aebf1f55082835b02967da5b055aaa57e53d63b2b0,,0xd620aadabaa20d2af700853c4504028cba7c3333,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,,,,,0.00000,
0xe675bd1aa1cf4b552209467f7e6868b28d29e4ce80120806847a1fe15947c408,,0xd620aadabaa20d2af700853c4504028cba7c3333,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,,,,0.00000,
0x9d02b4a860ccc5f1388ab54fc72533fa7eca2c329f433a07f83712afa86f3a80,,0xd620aadabaa20d2af700853c4504028cba7c3333,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,,,,0.00000,
0x0aa7bb8f93fd226442f85b37f754bf8b114627d74fdfc7790e291876971b7577,,0xd620aadabaa20d2af700853c4504028cba7c3333,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,,,,0.00000,
0xd0105e7b6ea43cf03e6dd300d8f3b2e5de405c521093edf7cab81a97344b347d,,0xd620aadabaa20d2af700853c4504028cba7c3333,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,,,,0.00000,
0xa3ce9d5d1cd145249fdc104ac490e19d762933fedbf1189f5766f760700261c5,,0xd620aadabaa20d2af700853c4504028cba7c3333,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,,,,,0.00000,
0x5f3c4364e9e45e89bac50262da8b973bb6cac119ab74b27a1f715965dfade5bd,,0xd620aadabaa20d2af700853c4504028cba7c3333,0x9eb2ce1be2dd6947e4f5aabe33106f48861dfd74,,,,,0.00000,
